index,Player,Year of Birth,G,WS,Seasons,WS/Season,Time line adjusted,Career Value,Three Best Years,5 year Total WS,Total
3219,Ron King,1952.0,9.0,0.2,0.10975609756097561,1.8222222222222224,15.2,0.039968025579536375,0.2,,
3220,Sergei Bazarevich,1966.0,10.0,0.2,0.12195121951219512,1.6400000000000001,16.6,0.039968025579536375,0.2,,
3221,Eric Anderson,1971.0,27.0,0.2,0.32926829268292684,0.6074074074074074,17.1,0.039968025579536375,0.1,,
3222,Tyler Lydon,1997.0,26.0,0.2,0.3170731707317073,0.6307692307692307,19.7,0.039968025579536375,0.1,,
3223,Carl Henry,1961.0,28.0,0.2,0.34146341463414637,0.5857142857142857,16.1,0.039968025579536375,0.2,,
3224,Bill Bolger,1932.0,20.0,0.2,0.24390243902439024,0.8200000000000001,13.2,0.039968025579536375,0.2,,
3225,Michael Anderson,1967.0,36.0,0.2,0.43902439024390244,0.4555555555555556,16.7,0.039968025579536375,0.2,,
3226,Ken Wilburn,1945.0,50.0,0.2,0.6097560975609756,0.328,14.5,0.039968025579536375,0.1,,
3227,Jarell Eddie,1992.0,34.0,0.2,0.4146341463414634,0.48235294117647065,19.2,0.039968025579536375,0.06666666666666667,,
3228,Ken Smith,1954.0,19.0,0.2,0.23170731707317074,0.8631578947368421,15.4,0.039968025579536375,0.2,,
3229,Bobby Fields,1950.0,22.0,0.2,0.2682926829268293,0.7454545454545455,15.0,0.039968025579536375,0.2,,
3230,Sam Ranzino,1929.0,39.0,0.2,0.47560975609756095,0.4205128205128206,12.9,0.039968025579536375,0.2,,
3231,Jared Cunningham,1992.0,84.0,0.2,1.024390243902439,0.19523809523809524,19.2,0.039968025579536375,0.06666666666666667,,
3232,Brian Heaney,1947.0,14.0,0.2,0.17073170731707318,1.1714285714285715,14.7,0.039968025579536375,0.2,,
3233,James Blackwell,1969.0,13.0,0.2,0.15853658536585366,1.2615384615384615,16.9,0.039968025579536375,0.2,,
3234,Ray Spalding,1998.0,14.0,0.2,0.17073170731707318,1.1714285714285715,19.8,0.039968025579536375,0.2,,
3235,Chris Porter,1979.0,51.0,0.2,0.6219512195121951,0.3215686274509804,17.9,0.039968025579536375,0.2,,
3236,Ben Hansbrough,1988.0,28.0,0.2,0.34146341463414637,0.5857142857142857,18.8,0.039968025579536375,0.2,,
3237,Andre Owens,1981.0,54.0,0.2,0.6585365853658537,0.3037037037037037,18.1,0.039968025579536375,0.1,,
3238,Kebu Stewart,1974.0,15.0,0.2,0.18292682926829268,1.0933333333333335,17.4,0.039968025579536375,0.2,,
3239,Price Brookfield,1921.0,61.0,0.2,0.7439024390243902,0.2688524590163935,12.1,0.039968025579536375,0.1,,
3240,Gene Gallette,1920.0,14.0,0.2,0.17073170731707318,1.1714285714285715,12.0,0.039968025579536375,0.2,,
3241,Gary Plummer,1963.0,126.0,0.2,1.5365853658536586,0.13015873015873017,16.3,0.039968025579536375,0.1,,
3242,Porter Meriwether,1941.0,31.0,0.2,0.3780487804878049,0.5290322580645161,14.1,0.039968025579536375,0.2,,
3243,Red Stroud,1942.0,7.0,0.2,0.08536585365853659,2.342857142857143,14.2,0.039968025579536375,0.2,,
3244,Melvin Sanders,1981.0,16.0,0.2,0.1951219512195122,1.025,18.1,0.039968025579536375,0.2,,
3245,Marcus Derrickson,1997.0,11.0,0.2,0.13414634146341464,1.490909090909091,19.7,0.039968025579536375,0.2,,
